文件名	360网盘密码	AZW3格式(推荐)	EPUB格式	MOBI格式	PDF格式	城通网盘(备份)	天翼云盘(推荐)	天翼云盘密码	微软云盘	百度网盘	百度网盘密码
世界少年文学经典文库•国外经典篇（套装全47册）										 http://pan.baidu.com/s/1kV2JXDt 	nk4v	
《安珀志》系列（1-10册全集） (读客全球顶级畅销小说文库)										http://pan.baidu.com/s/1hrXbYeg 	7vdv	
隋唐三部曲：隋乱+开国功贼+盛唐烟云										http://pan.baidu.com/s/1dFwkBHB		
易中天中华史（1-12卷+总序0，共13册）：第一部《中华根》+第二部《第一帝国》										http://pan.baidu.com/s/1pLkuVaj 	jhsx	
冰与火之歌1-5精排版										http://pan.baidu.com/s/1kUXHQmV 	f4co	
福尔摩斯探案全集（图注本）										http://pan.baidu.com/s/1dFym461 	8cuf	
二月河帝王系列			http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1493533218502&sk=c3e392bf-88e0-488b-b623-bc96f9393f36_app&ufi=7151621359335552&token=cloud16&sig=WG2JOFG0IX2x3ZTpom0toMm7clU%3D	http://download.cloud.189.cn/file/downloadFile.action?dt=51&expired=1493533218496&sk=c3e392bf-88e0-488b-b623-bc96f9393f36_app&ufi=1149821656784048&token=cloud15&sig=xa2lkYHrWHzDGj62W3%2BnLxhqD1M%3D						http://pan.baidu.com/s/1mhRbsYc 	5fsq	
地海传奇六部曲(套装共6册) [美]厄休拉·勒古恩										http://pan.baidu.com/s/1dFnxkdj 	9zxu	
《欢乐颂典藏版（全三册）》										 http://pan.baidu.com/s/1qYowETI 	xfsr	
盗墓笔记全集										http://pan.baidu.com/s/1jIRi9pk 	un6i	
追风筝的人+群山回唱+灿烂千阳(套装共3册) - 卡勒德·胡赛尼										 http://pan.baidu.com/s/1bpmftXP 	ruvn	
海伯利安四部曲(套装共4册)(附插画4张+本系列番外《螺旋的遗孤》)										http://pan.baidu.com/s/1hslplZI 	wdwf	
时光之轮【台版】										http://pan.baidu.com/s/1dELCOCD 	883a	
衣香鬓影（套装三册）										http://pan.baidu.com/s/1nvKWNmL 	密码:	
法医秦明(1-4)										http://pan.baidu.com/s/1o8kxap8 	cax5	
《世界悬疑经典小说大全集》										http://pan.baidu.com/s/1pL6FB55 	84rj	
《历史的镜像系列套装》										 http://pan.baidu.com/s/1dESy0y1	di92	
《心理罪》（全五册）										http://pan.baidu.com/s/1pKFSPFt	wcci	
《雪人》-【挪威】尤·奈斯博										http://pan.baidu.com/s/1kVyaqWJ 	uis9	
自控力										http://pan.baidu.com/s/1eRRG2lG	dvaj	
《大生意人》套装4册										 http://pan.baidu.com/s/1sl3THNJ 	2fnn	
《货币战争》1-5										http://pan.baidu.com/s/1sl3THV3	r9qw	
《人类简史》										http://pan.baidu.com/s/1nuDpeGD 		
《时间简史》										 http://pan.baidu.com/s/1qYrK4tI	tqjq	
《上帝掷骰子吗》										 http://pan.baidu.com/s/1o7UibFG 	cak7	
《余秋雨合集》										http://pan.baidu.com/s/1mifbyys	nwnn	
《自私的基因》										http://pan.baidu.com/s/1miPcFFE 	h6ag	
《重温最美古诗词》										http://pan.baidu.com/s/1kUR6rjx 	密码:	
《魔戒》+《霍比特人》										http://pan.baidu.com/s/1o8xUn3s 	xxaa	
《教父三部曲》										http://pan.baidu.com/s/1jHADtNS 	ng58	
《南渡北归三部曲》										http://pan.baidu.com/s/1bp7efLH 	852p	
《顾漫甜蜜三部曲》										http://pan.baidu.com/s/1i45VFCD 	u7se	
《沉默的大多数》										 http://pan.baidu.com/s/1eSDJ77W 	8cru	
《万历十五年》										http://pan.baidu.com/s/1o77NvoI 	ccwd	
《藏地密码》										http://pan.baidu.com/s/1ge8bEvx	8gh2	
《匪我思存作品集》										https://pan.baidu.com/s/1M-SdHr_Eu_f5I7i6s81R1w 	59l8	
《伊斯坦布尔假期》【法】马克·李维										http://pan.baidu.com/s/1eS18sZw	mv3f	
《硅谷钢铁侠》										http://pan.baidu.com/s/1dFt2PtZ 	jgjs	
网络四大神书完整畅读版（藏地密码全10册+东北往事黑道风云20年全5册+五大贼王全7册+我是个算命先生全4册）										http://pan.baidu.com/s/1o8s45CY 	9m92	
周浩晖精品集（全9册）										http://pan.baidu.com/s/1gfyOz1x 	7etm	
燕垒生作品集										https://pan.baidu.com/s/1dGbRcyoxPukYkQVeH9fYjw	j9hs	
《黑暗塔》1-7合集										http://pan.baidu.com/s/1bpdXSyN 	znz4	
鱼羊野史(第1卷-第3卷)										http://pan.baidu.com/s/1kVyas5p 	5thm	
《乔布斯传》										http://pan.baidu.com/s/1eSFL36E	qysg	
《别和她说话》										https://pan.baidu.com/s/14yw4ztxKoiBpSVpwU1vIig	myem	
《这样读书就够了》										http://pan.baidu.com/s/1eSCxF5g	je8m	
王树增三部										http://pan.baidu.com/s/1dEJQNU5 	sf34	
《民国风尚志》										http://pan.baidu.com/s/1nvGnmfZ 	8k6w	
二战史诗三部曲										http://pan.baidu.com/s/1b53ZFC	u5jp	
《沙娜拉之剑三部曲》										http://pan.baidu.com/s/1nvAh8I9 	34mx	
古董局中局全集										http://pan.baidu.com/s/1kVq8MWn 	ef3c	
《忽而今夏》										http://pan.baidu.com/s/1gfdPIoz	e7sp	
《那些路过心上的经典：民国大师经典书系（套装共9册） 》										https://pan.baidu.com/s/1zMmHfHS0kjiJOqCgREilow	n7wm	
《纳尼亚传奇三部曲》										https://pan.baidu.com/s/10j1eD188bxfEjZCpFsHULg 	09bd	
失控(Out Of Control)》中英双版										 http://pan.baidu.com/s/1dF7Gakh	a8gp	
《第一日》【法】马克·李维										http://pan.baidu.com/s/1gf4Uh8J 	9sgp	
蛮荒系列5本										http://pan.baidu.com/s/1eROYKa2	691x	
《罗辑思维》										http://pan.baidu.com/s/1i4Wuizz	3jj2	
《刘慈欣科幻作品集》【中亚】										http://pan.baidu.com/s/1jHVChKi 	wvjk	
剑桥中国史全集										http://pan.baidu.com/s/1i4KiRXV 	tuc6	
东野圭吾作品集										http://pan.baidu.com/s/1c2JTyta 	ffbf	
《丹·布朗经典作品集》五部										http://pan.baidu.com/s/1qXBNhnu 	cbh9	
《无路可退的战士》										http://pan.baidu.com/s/1jI0Kp8M i	wkzi	
《第二次世界大战史大全》										http://pan.baidu.com/s/1c10asoS 	e1vr	
《司马懿吃三国1-5》										http://pan.baidu.com/s/1c2DhLlA 	9svs	
《红顶商人胡雪岩》（全6册）										http://pan.baidu.com/s/1mitoFyg	hmqt	
《曾国藩（评点插图本）》（全三册）										http://pan.baidu.com/s/1ge6FNs3 	emni	
《大江东去》全3册	70f5									http://pan.baidu.com/s/1cgbRqe 	cf2t	
《异事录》										http://pan.baidu.com/s/1mi0apaK 	4efy	
《平凡的世界》						https://u11851471.ctfile.com/dir/11851471-25585264-8c3275/				http://pan.baidu.com/s/1kUPUgzP 	h3d8	
《密道追踪》										http://pan.baidu.com/s/1nvbBFWd 	5ydr	
《月亮和六便士》										http://pan.baidu.com/s/1jIjjw02	8zy5	
《人性的枷锁》										http://pan.baidu.com/s/1slkqZa1	ets3	
《巨人的陨落》										https://pan.baidu.com/s/1dJUgj4BJhDqYvnbypHzprA	xo9w	
《解密》										 http://pan.baidu.com/s/1nuHsZIL 	k9vx	
《太平洋战争三部曲》	35b2									http://pan.baidu.com/s/1eSdRRns	5uf2	
《诡案组》										http://pan.baidu.com/s/1mihd0tM 	nuki	
《他方世界》（全二册）										 http://pan.baidu.com/s/1c1XQxBq 	y3ma	
《百家讲坛七周年限量珍藏版》										http://pan.baidu.com/s/1hswKGh2 	huhp	
《皇朝战史：明朝十大战争》										http://pan.baidu.com/s/1nvcrJXf 	4acy	
《从晚清到民国》 作者: 【美】唐德刚										http://pan.baidu.com/s/1cMFvMu 	g5pm	
《莫言文集》										http://pan.baidu.com/s/1kUMgLyZ	w692	
大漠三部曲:大漠祭+猎原+白虎关(套装共3册)										http://pan.baidu.com/s/1miKZb1u 	7qsv	
长相思全套1-3（全集1+2诉衷情+3思无涯第三部）										http://pan.baidu.com/s/1i4Xan57 	be6r	
《废都》										http://pan.baidu.com/s/1hsyM7Y0 	nxee	
《病隙碎笔(修订版)》										http://pan.baidu.com/s/1kUFvkbH 	efmm	
《白鹿原》										http://pan.baidu.com/s/1czEISY	uwvj	
《饥饿游戏》(套装共3册)										http://pan.baidu.com/s/1i4CH1nn 	55wx	
《浮世织香录》										http://pan.baidu.com/s/1pKJWLyN	2k2s	
《唐诗鉴赏辞典》										http://pan.baidu.com/s/1dEW2xNj 	54wb	
《中国传统建筑十五讲》										http://pan.baidu.com/s/1o7Z7QT8 	smhd	
《悟空传(完美纪念版)》										http://pan.baidu.com/s/1c10aysS 	fytn	
《解忧杂货店》										http://pan.baidu.com/s/1i5hPCrF 	2s9v	
银河系漫游指南([英]道格拉斯·亚当斯)										 http://pan.baidu.com/s/1jIQ2Q38	iumq	
《大秦帝国》（全六部）										http://pan.baidu.com/s/1gfCxBIr 	g6bs	
《大卫·科波菲尔》(套装上下册)										http://pan.baidu.com/s/1c2G5HCk 	5nw5	
《龙族》										http://pan.baidu.com/s/1eSCxTHS 	bnjf	
《青蛇》										http://pan.baidu.com/s/1qY2AgHI 	95yi	
《百年中国侦探小说精选》										https://pan.baidu.com/s/1bRYYBzATeoxD9Ag7A6tPUQ	5akg	
《大清商埠》										http://pan.baidu.com/s/1nuFrn4H	78tb	
《余生皆假期》										http://pan.baidu.com/s/1o8vSDfG 	79m3	
《梦幻花》										http://pan.baidu.com/s/1c1EnEwg 	4daq	
《历史的拐点：中国历朝改革变法实录》										http://pan.baidu.com/s/1i5i5CPZ 	48c4	
《陆犯焉识》										http://pan.baidu.com/s/1pL9xKfT	e7mc	
《亮剑》										http://pan.baidu.com/s/1c2BgfhY	4cmw	
《清明上河图密码》										http://pan.baidu.com/s/1eSob01G	2h5n	
《十宗罪》（1-5+前传）										http://pan.baidu.com/s/1c2dWg84	snki	
《人鱼沉睡之家》										http://pan.baidu.com/s/1c2K98Q0 	c985	
《巷说百物语》										http://pan.baidu.com/s/1bpKB9KF	bywz	
《焦氏易林注》										http://pan.baidu.com/s/1geTaHnP	dyqc	
《教父》三部曲典藏版套装										http://pan.baidu.com/s/1bo4gylh 	yi7w	
《曹文轩文集精华版合集》										https://pan.baidu.com/s/1SFNraTPYVF9Lm3vf8N3xDQ	o7x9	
《第一夜》										http://pan.baidu.com/s/1qY2Amlu 	s3g6	
《年轮》										http://pan.baidu.com/s/1kVHD5bD 	fzca	
《四大名著》										http://pan.baidu.com/s/1eRMrl8A 	ugf8	
《在另一种生命里》										http://pan.baidu.com/s/1i5sFi8P	cejr	
《比恐惧更强烈的情感》										http://pan.baidu.com/s/1hswKVGS	8kne	
《国史大纲》										http://pan.baidu.com/s/1eS0mMZo	cuuv	
《侯卫东官场笔记》（1-8+巴国侯氏）										http://pan.baidu.com/s/1jHDvA0A 	brpa	
《摆渡人》										http://pan.baidu.com/s/1miReYxU 	i22h	
《武道狂之诗》										http://pan.baidu.com/s/1eSpx7ay	5864	
《男儿行》										http://pan.baidu.com/s/1cKDLvg	qmpz	
《唐骑》										http://pan.baidu.com/s/1pLfBK4V	iza8	
《商海谍影》										http://pan.baidu.com/s/1i5e2exR	smw8	
《危险拍档》										 http://pan.baidu.com/s/1c1TgVSG	1qmq	
《汉魏文魁》【全本】										http://pan.baidu.com/s/1c2HlVVi	fxcc	
《九州牧云录》【全本】										http://pan.baidu.com/s/1jHZGrLc 	eaqc	
《烽烟尽处》【全本】										http://pan.baidu.com/s/1c2sj1jM 	7mc8	
《晚明》【全本】										http://pan.baidu.com/s/1miCRRAw	vnfe	
《捉鬼实习生》【全本】										http://pan.baidu.com/s/1i5IxDiP 	zdtb	
《纳妾记》						https://u11851471.ctfile.com/dir/11851471-25632853-4382c9/				http://pan.baidu.com/s/1kVDtvBT	bgrg	
《庆余年》【全本】										http://pan.baidu.com/s/1ge6GmuZ	ngew	
《将夜》【全本】										http://pan.baidu.com/s/1kVvYVVD	udn3	
《间客》【全本】										http://pan.baidu.com/s/1gfsJrNl 	kniz	
《龙蛇演义》【全本】										http://pan.baidu.com/s/1jHBtNIA 		
《阳神》【全本】										http://pan.baidu.com/s/1o88ed0Q 	jzsh	
《冒牌大英雄》【全本】										 http://pan.baidu.com/s/1gffSd6V	u58t	
《无心法师》【全本】										http://pan.baidu.com/s/1jH7qb7C		
《南衙纪事》【全本】										http://pan.baidu.com/s/1kUDtD7T 	u3hr	
《我当道士那些年》【全本】										 http://pan.baidu.com/s/1hsHJImC 	aayw	
《死亡名单》【全本】										http://pan.baidu.com/s/1o8GR8sq	nxb8	
《尘缘》【全本】										http://pan.baidu.com/s/1qYQqRTi 	bjv4	
《亵渎》【全本+番外】										http://pan.baidu.com/s/1qYCdLjI	psa2	
《锦衣夜行》【全本】										http://pan.baidu.com/s/1c20qVOO	imb2	
《步步生莲》【全本】										http://pan.baidu.com/s/1kVNJptH 	iuw9	
《弄潮》【全本+番外】										http://pan.baidu.com/s/1i55601v	q7cn	
烟雨江南《狩魔手记》【全本】										http://pan.baidu.com/s/1dFDgh0H 	9mjs	
《罪恶之城》【全本】										http://pan.baidu.com/s/1pLd9Wl9 	7pny	
《回到明朝当王爷》【全本】										http://pan.baidu.com/s/1cojMZ8 	824d	
《夜天子》【全本】										http://pan.baidu.com/s/1ge3sxUz 	hn53	
《醉枕江山》						https://page71.ctfile.com/dir/11851471-24350725-886e4f/				http://pan.baidu.com/s/1qYAxYGk 	f0ba	
《夜不语诡秘档案》【全本】										http://pan.baidu.com/s/1i4Yw37B 	4zf8	
《无尽武装》【全本】										http://pan.baidu.com/s/1eRIT5rc	wmns	
《极具恐怖》【全本】										 http://pan.baidu.com/s/1nvaWk4L 	rsex	
《明朝伪君子》【全本】										http://pan.baidu.com/s/1nvzYDBF	kgg5	
《民国投机者》【全本】										http://pan.baidu.com/s/1jIg1TH0 		
《上品寒士》【全本】										http://pan.baidu.com/s/1skPsGs1	4hh2	
《无限恐怖》【全本】										http://pan.baidu.com/s/1qYpJm7i 	mxby	
《王朝之剑》【全本】										http://pan.baidu.com/s/1jIpp0Aa 	u7j6	
《官道无疆》										https://pan.baidu.com/s/1ZbZd-y0v9l3xQgysC0TthQ 	f0f2	
《瓦尔登湖》						https://page71.ctfile.com/dir/11851471-24624259-9fcc95/				http://pan.baidu.com/s/1c2MYrF6 	8xbl	
《幸福的另一种含义》【法】马克·李维										http://pan.baidu.com/s/1jInT88I 	b9e9	
《唐砖》【校对全本+番外】										http://pan.baidu.com/s/1c2LVJ9m 	ah4d	
《造化之门》（校对全本）									https://1drv.ms/f/s!Agu94tZH0D3CxBhvVIPEFk6OJOIU	https://pan.baidu.com/s/1syP01KGa1D35q2rqI7DjVg 	hycz	
《永镇仙魔》										http://pan.baidu.com/s/1i59AtEl 	x2hx	
《凡尔纳科幻经典》(插图版·全译本)(套装共11册)										https://pan.baidu.com/s/1nuEDQSp 	xdcr	
《官仙》										http://pan.baidu.com/s/1eSeiL7G 	1agv	
《无耻妖孽》【全本】										http://pan.baidu.com/s/1gf7C78v 	tbzs	
《十九路军战记》【全本】										http://pan.baidu.com/s/1o88Klg2	je3u	
《七品封疆》【全本】										http://pan.baidu.com/s/1i5i5Z6X 	bvcm	
《锦衣笑傲行》【全本】										http://pan.baidu.com/s/1dFpzIGp	wq7y	
《活色生香》【全本】						https://page71.ctfile.com/fs/11851471-212314758				http://pan.baidu.com/s/1dFb6wG5 	epkx	
《和空姐同居的日子》【全本Ⅰ+Ⅱ】						https://page71.ctfile.com/dir/11851471-24131752-1780a5/				http://pan.baidu.com/s/1mi9jLYK 	13hs	
《官居一品》【全本+番外】										http://pan.baidu.com/s/1pKQIS0j	f3fy	
《天下》【全本】										http://pan.baidu.com/s/1hsHJUOO	3v2q	
《异人傲世录》【全本】										http://pan.baidu.com/s/1bpiIp7T	m14w	
《翻译官》										http://pan.baidu.com/s/1bpJqgR9 	jfhk	
《肯·福莱特悬疑精选套装（5册）》										http://pan.baidu.com/s/1nu7QgyP	ds79	
《2666》										http://pan.baidu.com/s/1hs58Gkc 	yscx	
《长风》【全本】										http://pan.baidu.com/s/1qYvjbg4	iwu4	
《黑旗》【全本】										http://pan.baidu.com/s/1hshmnWw	atf5	
《斜风》【全本】										http://pan.baidu.com/s/1jHTAWSY	5har	
《三千美娇娘》【全本】										http://pan.baidu.com/s/1pLfCbHp	wmuy	
《星空王座》【全本】										http://pan.baidu.com/s/1boDAlNx 	ddwg	
《火星救援》										http://pan.baidu.com/s/1dFshIXN 	xqxf	
《中国古代禁毁言情小说》（18册）										http://pan.baidu.com/s/1bp3biLT 	spw8	
《重生于康熙末年》										http://pan.baidu.com/s/1qYjtE48 	v0ni	
《蒋介石评传》										http://pan.baidu.com/s/1mipR9Du	i928	
《考骨纪-北疆生死契》										http://pan.baidu.com/s/1qYpd2G0	h5kj	
《太浩》										http://pan.baidu.com/s/1bpbWJKF 	67em	
《谋杀禁忌》										http://pan.baidu.com/s/1slJ3DJB 	e41n	
《耶路撒冷三千年》										http://pan.baidu.com/s/1c2eCF5m 	xa6p	
《知乎一小时 深度短时阅读（第三季）》套装共八册										https://pan.baidu.com/s/1lqQ3ik_d8uYlPZC6LkcnCg	b9j8	
《万物的签名》										http://pan.baidu.com/s/1gffS2sj 	pu32	
《求索中国-文革前十年史》										http://pan.baidu.com/s/1mirT7EK 	r733	
《切尔诺贝利的回忆：核灾难口述史 》										http://pan.baidu.com/s/1nvcYylb 	vtxn	
《天唐》										http://pan.baidu.com/s/1i4EebDN 	7bhh	
《极花》										http://pan.baidu.com/s/1slkXI6D 	kn5y	
《孝恭皇后》										http://pan.baidu.com/s/1pLq178f 	6dr1	
《X密码》										http://pan.baidu.com/s/1c13yVK0 	rbc6	
《灭运图录》【全本】										http://pan.baidu.com/s/1pLD2kIZ	ms73	
《白门柳》（全3册）										http://pan.baidu.com/s/1ge1WU2n	3na5	
《暗杀1905》（全三册）										http://pan.baidu.com/s/1i4H1TGD 	xgix	
《亡者归来》										http://pan.baidu.com/s/1nuR3ksL	d3tc	
《疾风回旋曲》										http://pan.baidu.com/s/1hrGNYBU	k99f	
《那片星空,那片海》【校对版全本】										http://pan.baidu.com/s/1c1IYd2o 	af3t	
《死神的精确度》										http://pan.baidu.com/s/1geH6dQr 	vatv	
《大汉帝国风云录》【全本】						https://page71.ctfile.com/dir/11851471-23900164-84295b/				http://pan.baidu.com/s/1nvHUkXz 	zpfd	
《十四年猎诡人》【全本】										http://pan.baidu.com/s/1kU9q2N1 	xvvc	
《青帝》【全本】										http://pan.baidu.com/s/1eREQtnc 	psch	
《十州风云志》【全本】										http://pan.baidu.com/s/1boVR1h1 	aaeq	
《独步天下》【全本】										http://pan.baidu.com/s/1kVS3Cnd	whre	
《赫氏门徒》【全本】										http://pan.baidu.com/s/1jIqBXps 	k7tp	
《龙战在野》【全本】										http://pan.baidu.com/s/1o7Z8OhO	qkya	
《底牌》【全本】										http://pan.baidu.com/s/1sl7sGdZ 	ey6j	
《14号门》										http://pan.baidu.com/s/1sliqjzZ 	7ir6	
《紫阳》										http://pan.baidu.com/s/1i5wdFql 	799a	
《太玄战记》 作者：风御九秋										http://pan.baidu.com/s/1hsLik4W	q6a4	
《残袍》										http://pan.baidu.com/s/1pKA4s6v 	iekj	
《佛本是道》										http://pan.baidu.com/s/1pKPx02f 	wyte	
《辉煌岁月》										http://pan.baidu.com/s/1jIttNQu 	5dsd	
《货币简史》										http://pan.baidu.com/s/1bW9602 	w8qp	
《大清盐商》南柯										http://pan.baidu.com/s/1skK9Flz	x4j6	
《梁羽生武侠小说34部合集》										http://pan.baidu.com/s/1geIShnP 	jw4u	
《新宋三部曲》										http://pan.baidu.com/s/1i50hzNn 	v17a	
《古龙作品全集》										http://pan.baidu.com/s/1mhIHXbU	624k	
《北宋小官人的幸福生活》										http://pan.baidu.com/s/1pLOXGUZ	nq8k	
《乌合之众:大众心理研究》										http://pan.baidu.com/s/1slovPcL 	mnhd	
《掌御星辰》										http://pan.baidu.com/s/1nuPgGNv 	bly6	
《男人这东西》										https://pan.baidu.com/s/1eR6fm4i 	ru44	
《 失乐园 》										http://pan.baidu.com/s/1mh5kLmg 	cfid	
《南宋名家词选讲 》										http://pan.baidu.com/s/1i4OnIDJ	is2q	
《北宋小厨师》										https://pan.baidu.com/s/1Q9ATU6mHe4mCWlngFudk0w 	z7pv	
《人道天堂》										http://pan.baidu.com/s/1bpHUAHh	had5	
《蓝色战略》										http://pan.baidu.com/s/1i5HIyah 	435q	
《马踏天下》										http://pan.baidu.com/s/1bpv9XV5 	ugdd	
《1855美国大亨》【全本】										http://pan.baidu.com/s/1o8EkzTw 	tbsj	
《饕餮娘子》【精校版】										http://pan.baidu.com/s/1hsPlYLm 	akzz	
《城南旧事·绘图版》										http://pan.baidu.com/s/1c2gEQ0S 	9n7h	
《三生三世·十里桃花+枕上书+枕上书·终篇》										http://pan.baidu.com/s/1gf5BodH 	ms33	
《兰陵缭乱》										http://pan.baidu.com/s/1c2dXarm	u57e	
《琅琊榜（精制精排）》										https://pan.baidu.com/s/1G3xrvcy0xqesip1Ca5yRJw	lxbn	
《四世同堂》										http://pan.baidu.com/s/1eSBITMU 	tfmt	
《仙魔变》作者：无罪										http://pan.baidu.com/s/1jHOlLx8 	bmgg	
《后宫·甄嬛传》	1bbc									http://pan.baidu.com/s/1qYpdRxM 	tku2	
《金融的逻辑》										http://pan.baidu.com/s/1nuIabcX 	tgb7	
《疯狂中国史精选套装》										http://pan.baidu.com/s/1mixZ59Y 	28f5	
《莽荒纪》										http://pan.baidu.com/s/1pLJ8epX	z5a7	
《昆仑2012新修版》			http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_269B037BB40E5DF0D24ACC7DB947FA17D447060CB6F959A37BCC5D814E37A7E4392C540844EDD7706A75A4204468539C87EC3949F50A52CA5E69C000E4802048633F430EC359916E2CA0904CEF02D10D1D533C9135FBFB7070DB0CE4FBE4214118BA041BD80A96341A38857F512CE33371E819DE63DE63ABC4BEC4CE87F314B8FD227141	http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_BB59FB4D893135EDBB2664820641D9336945F8C86DCFCC6EFF703B2159A771FBFA0496FE93DDECED318EBF5DF9A61483D2375E8E3293E0C86FA847DBC36DD0CE0345A9FB866CCFAE740228A5A519ACCD8F8793D4857C7555CFAE48B406847748E6BAC277F45394C47C7B2503EBC8C70CCDE07F0135CEB6326602F4D002CBAD2F93AE42BC								
《沧海》										http://pan.baidu.com/s/1dEW31hn 	niyf	
《阿加莎克里斯蒂作品集》										http://pan.baidu.com/s/1kUOjLKr 	ayvk	
《蔡骏作品集》										http://pan.baidu.com/s/1slksh8h 	x77f	
《郭敬明作品集》										http://pan.baidu.com/s/1hrCe9XM 	w38f	
《小椴作品集》										http://pan.baidu.com/s/1bpIACJt 	6k3x	
